,support,itemsets
138,0.01,frozenset({'Pinky Harwani'})
139,0.01,frozenset({'Pooja Batra'})
140,0.01,frozenset({'Pradeep Kharab'})
141,0.01,frozenset({'Prakash Bhardwaj'})
142,0.04,frozenset({'Preity Zinta'})
143,0.01,frozenset({'Priya Badlani'})
144,0.04,frozenset({'Priyanka Chopra'})
145,0.01,frozenset({'Priyanshu Chatterjee'})
146,0.01,frozenset({'Puru Rajkumar'})
147,0.01,frozenset({'Rachel Shelley'})
148,0.01,frozenset({'Raghuvir Yadav'})
149,0.01,frozenset({'Rahul Bose'})
150,0.01,frozenset({'Raima Sen'})
151,0.01,frozenset({'Raj Babbar'})
152,0.01,frozenset({'Raja Bherwani'})
153,0.01,frozenset({'Raja Hasan'})
154,0.01,frozenset({'Rajeev Khandelwal'})
155,0.01,frozenset({'Rajeev Verma'})
156,0.04,frozenset({'Ranbir Kapoor'})
157,0.01,frozenset({'Randeep Hooda'})
158,0.05,frozenset({'Rani Mukerji'})
159,0.01,frozenset({'Ranveer Singh'})
160,0.01,frozenset({'Rati Agnihotri'})
161,0.01,frozenset({'Raveena Tandon'})
162,0.02,frozenset({'Reema Sen'})
163,0.01,frozenset({'Rehan Khan'})
164,0.03,frozenset({'Rekha'})
165,0.01,frozenset({'Richa Pallod'})
166,0.01,frozenset({'Rinke Khanna'})
167,0.03,frozenset({'Rishi Kapoor'})
168,0.02,frozenset({'Ritesh Deshmukh'})
169,0.01,frozenset({'Riya Sen'})
170,0.01,frozenset({'Rohini Hattangadi'})
171,0.01,frozenset({'Rutika Singh'})
172,0.01,frozenset({'Saahil Prem'})
173,0.01,frozenset({'Sachin Khedekar'})
174,0.01,frozenset({'Sadashiv Amrapurkar'})
175,0.01,frozenset({'Sahil Khan'})
176,0.03,frozenset({'Saif Ali Khan'})
177,0.01,frozenset({'Salah Benlemqawanssa'})
178,0.01,frozenset({'Salil Acharya'})
179,0.07,frozenset({'Salman Khan'})
180,0.03,frozenset({'Sanjay Dutt'})
181,0.02,frozenset({'Sanjay Kapoor'})
182,0.01,frozenset({'Sanjay Suri'})
183,0.01,frozenset({'Sanjiv Chopra'})
184,0.01,frozenset({'Saptharishi Ghosh'})
185,0.01,frozenset({'Seema Biswas'})
186,0.01,frozenset({'Shaad Randhawa'})
187,0.04,frozenset({'Shah Rukh Khan'})
188,0.01,frozenset({'Shahana Goswami'})
189,0.03,frozenset({'Shahid Kapoor'})
190,0.02,frozenset({'Shammi Kapoor'})
191,0.01,frozenset({'Sharad Kelkar'})
192,0.03,frozenset({'Sharad S. Kapoor'})
193,0.01,frozenset({'Sharat Saxena'})
194,0.01,frozenset({'Sharbani Mukherji'})
195,0.01,frozenset({'Sharda'})
196,0.01,frozenset({'Sharman Joshi'})
197,0.01,frozenset({'Shatrughan Sinha'})
198,0.01,frozenset({'Sheeba Bhakri'})
199,0.01,frozenset({'Shefali Shetty'})
200,0.01,frozenset({'Sherrin Verghese'})
201,0.01,frozenset({'Shillpi Sharma'})
202,0.01,frozenset({'Shivaji Satam'})
203,0.01,frozenset({'Shona Chabra'})
204,0.01,frozenset({'Shraddha Kapoor'})
205,0.01,frozenset({'Shriya Saran'})
206,0.01,frozenset({'Shroff Jackie'})
207,0.01,frozenset({'Shweta Kumar'})
208,0.01,frozenset({'Shweta Menon'})
209,0.01,frozenset({'Simone Singh'})
210,0.01,frozenset({'Smita Jaykar'})
211,0.01,frozenset({'Sneha Ullal'})
212,0.01,frozenset({'Soha Ali Khan'})
213,0.01,frozenset({'Sonali Bendre'})
214,0.01,frozenset({'Sonali Khare'})
215,0.01,frozenset({'Sonam Kapoor'})
216,0.01,frozenset({'Sonia Mann'})
217,0.01,frozenset({'Sonu Nigam'})
218,0.01,frozenset({'Sonya Jehan'})
219,0.01,frozenset({'Sudha Chandran'})
220,0.01,frozenset({'Suhas Sirsat'})
221,0.01,frozenset({'Sukhada Yash'})
222,0.03,frozenset({'Suman Ranganathan'})
223,0.01,frozenset({'Sunidhi Chauhan'})
224,0.01,frozenset({'Sunil Shetty'})
225,0.02,frozenset({'Sunny Deol'})
226,0.01,frozenset({'Supriya Pathak'})
227,0.01,frozenset({'Supriya Pilgaonkar'})
228,0.02,frozenset({'Sushmita Sen'})
229,0.02,frozenset({'Tabu'})
230,0.01,frozenset({'Tanisha'})
231,0.01,frozenset({'Tanushree Dutta'})
232,0.01,frozenset({'Tina Rana'})
233,0.01,frozenset({'Tinnu Anand'})
234,0.01,frozenset({'Tulip Joshi'})
235,0.01,frozenset({'Tusshar Kapoor'})
236,0.03,frozenset({'Uday Chopra'})
237,0.02,frozenset({'Urmila Matondkar'})
238,0.01,frozenset({'Vatsal Seth'})
239,0.01,frozenset({'Vidya Balan'})
240,0.01,frozenset({'Vidya Malvade'})
241,0.01,frozenset({'Vijay Raaz'})
242,0.01,frozenset({'Vikas Bhalla'})
243,0.01,frozenset({'Vinay Anand'})
244,0.01,frozenset({'Vinay Jain'})
245,0.01,frozenset({'Vinay Pathak'})
246,0.01,frozenset({'Vinod Khanna'})
247,0.01,frozenset({'Vishnu Sharma'})
248,0.01,frozenset({'Vivek Oberoi'})
