Year,Title,Director,Cast,Genre
1922,Ahiravan Mahiravan Vadha,G. V. Sane,"Bhaurao Datar, Bachu Pawar, Shanta Nalgunde, Ghanshyam Singh, Sane",Mythology
1922,Ajamil,Kanjibhai Rathod,"Khalil, Jamna, Homi Master, Gangaram",religious
1922,Andhare Alo a.k.a. The Influence Of Love,"Naresh Mitra, Sisir Kumar Bhaduri","Durga Rani, Lila Debi, Sisir Kumar Bhaduri, Naresh Mitra, Jogesh Choudhury, Kankabati",Social Drama
1922,Ashoka a.k.a. Samrat Ashoka,,,Historical
1922,Bhakta Ambarish,Kanjibhai Rathod,"Khalil, Tara, R. N. Vaidya",religious
1922,Bhakta Shiromani a.k.a. Rajrishi Ambarish a.k.a. Bhakta Shiromani,Dadasaheb Phalke,,religious
1922,Bhartrahari a.k.a. King Bhartrahari,S. N. Patankar,"Tara Koregaonkar, Thatte",Legend
1922,Bhishma,Jyotish Bannerjee,"Master Mohan, Keki Adjania",Mythology
1922,Bhishma Bana Shayya,,Madanrai Vakil,Mythology
1922,Bhishma Pratigna,R. S. Prakash,,Mythology
1922,Bidyasundar a.k.a. The Lover's Trance,Sundar Narayan Ray,Durga rani,Legend
1922,Bimata a.k.a. Bijoy Basant a.k.a. Stepmother,Dhirendranath Ganguly,"Seeta Devi, Dhirendranath Ganguly, Miss Joy Billy",Social
1922,Bisha Briksha a.k.a. Bishabriksha a.k.a. Poison Tree,Jyotish Bannerjee,"Durgadas Bannerjee, Miss Light, Basantakumari, Manoranjan Bhattacharya, Gopalchandra Bhattacharya, Lila Debi, Kartik Dey",Social Drama
1922,Bodana a.k.a. Bhakta Bodhana a.k.a. Shri Ranchhodrai,S. N. Patankar,Raja Sandow,Legend religious
1922,Damaji a.k.a. Bhakta Damaji a.k.a. Bhagwata Bhakta Damaji,Baburao Painter,"Baburao Pendharkar, Sushilabai, Gulabbai, Ravji M. Haskar, N. D. Sarpotdar, Zunzharrao Pawar, Ganpat Bakre",religious
1922,Devi Todi,Kanjibhai Rathod,Jamna,religious
1922,Doom Of The Yadavas a.k.a. Yadav Vinas,,,Mythology
1922,Draupadi Swayamwar,Vishnupant Divekar,Kamala,Mythology
1922,Draupadi Veni Bandhan a.k.a. The Fall Of The Kauravas a.k.a. Veni Bandhan,Vishnupant Divekar,"S. N. Patankar, Damle, Soni",Mythology
1922,Gangavataran a.k.a. Bhagirathi Ganga,,"Patience Cooper, Dadibhai Sarkari",Mythology
1922,Hara Gouri a.k.a. Lord Shiva And Parvati,Dhirendranath Ganguly,,Religious
1922,Hari Talika,G. V. Sane,Bhaurao Datar,Mythology
1922,Indrajit a.k.a. Indrajit O Lady Teacher,Dhirendranath Ganguly,"Seeta Devi, Dhirendranath Ganguly",Social
1922,Jadunath,S. N. Patankar,"Tara Koregaonkar, K. G. Gokhale, Baba Vyas, Trimbakrao Pradhan, Kelkar",Legend
1922,Kalidas,S. N. Patankar,"Tara Koregaonkar, Baba Vyas",Biopic religious
1922,Karna a.k.a. Deserted Son Of Kunti,S. N. Patankar,Raja Sandow,Mythology
1922,Lady Teacher,Dhirendranath Ganguly,,Comedy
1922,Laila Majnu,J. J. Madan,"Patience Cooper, H. W. Waring, Miss Dot Foy, Jeanetta Sherwin",Romance Legend
1922,Mahashweta Kadambari a.k.a. Shap Sambhram,S. N. Patankar,"Tara Koregaonkar, Baba Vyas, Thatte, S. N. Patankar",Mythology
1922,Malati Madhav,Kanjibhai Rathod,"Khalil, Tara, R. N. Vaidya, Miss Moti, Gangaram",Mythology
1922,Pandavas In Exile a.k.a. Pandav Vanavas,G. V. Sane,"Bhaurao Datar, Bachu Pawar, Sakharam Jadhav",Mythology
1922,Parikshit,,Vithaldas Panchotia,Mythology
1922,Parsuram,,,Mythology
1922,Pati Bhakti a.k.a. Pavitra Leelavati a.k.a. Husband Worship,J. J. Madan,"Patience Cooper, Master Mohan, Signorina F. Manelli, Manilal, Sayed Hussain",Social Drama
1922,Pitroddhar a.k.a. Ganga The Redeemer,Manilal Joshi,,Mythology
1922,Princess Budur a.k.a. Rajkumari Budur a.k.a. Tale Of Kamar-Al-Zaman,J. J. Madan,"Patience Cooper, Eugenio De Liguoro, Dorothy Bayley, Edna Dalies, Dadibhai Sarkari, Chapgar",Costume Fantasy
