Year,Title,Director,Cast,Genre
1947,Zindagi,Kishore Sharma,"Begum Para, Balwant Singh, K. N. Singh, Gope, Jagdish Sethi",Social
1947,Zanjeer,Kishore Sharma,"Begum Para, Balwant Singh, K. N. Singh, Gope, Jagdish Sethi, Latika",Social
1948,11 O'Clock,Homi Wadia,"Fearless Nadia, John Cawas, Atish Sayani, Aftab, Shyam Sunder",Action
1948,Aag,Raj Kapoor,"Raj Kapoor, Nargis, Premnath, Nigar Sultana, Kamini Kaushal, B. M. Vyas",romance Drama
1948,Aaj Ka Farhad,Balwant Joshi,"Nainkant, Nargis, Arvind Kumar, Leela Gupte, Zohra, Kesari",Action
1948,Aaj Ki Raat,D.D. Kashyap,"Motilal, Suraiya, Yakub, Shah Nawaz, Leela Mishra, Anita Sharma, Raj Mehra, Sangeeta",Social
1948,Aap Beeti,Kumar,"Pramila, Agha, Kumar, Khurshid, E. Bilimoria",Social
1948,Actress,Najam Naqvi,"Rehana, Prem Adib, Meena Shorey, David, Mukri, Jamal Amrohi",Romance Social
1948,Adalat,Vasant Joglekar,"Jog Madgulkar, Sudha Apte, Saroj Borkar, Baburao Pendharkar, Shalini Devi",Social
1948,Ajamil,J. Kapadia,"Manhar Desai, Suresh, Kanta Kumari, Malti, Umakant, Shanta Kumari, Narmada Shanker",Costume
1948,Ajit,Mohan Dayaram Bhavnani,"Prem Nath, Monica Desai, Yadhodhara Katju, Gope, Ram Kamlani, Badri Prasad",Costume
1948,Amar Prem,N.M. Kelkar,"Raj Kapoor, Madhubala, Madhav Kale, Alka Rani, Nimbalkar",Romance Drama
1948,Andhon Ka Sahara,V. Thungare,"Leela Gupte, Vijay Kumar, Inamdar, Surve, Kamladevi",Social
1948,Anjangarh,Bimal Roy,"Sunanda Banerjee, Hiralal, Bipin Gupta, Ajay Kumar, Asit Sen, Parulkar, Manorama, Tulsi Chakraborty",
1948,Anjuman,Akhtar Hussain,"P. Jairaj, Nargis, Anwar Hussain, Neelam, Durga Khote, Chandabai",Social
1948,Anokhi Ada,Mehboob Khan,"Naseem Banu, Surendra, Prem Adib, Zeb Qureshi, Cuckoo, Bhudo Advani, Murad",Drama Romance Musical
1948,Anokha Pyar,M.I. Dharamsey,"Dilip Kumar, Nargis, Nalini Jaywant, Mukri, Uma Dutt, Habib, Sheikh, Sankatha Prasad",Romance Drama
1948,Asha,L. Meghani,"Sohan, Urvashi, Shanta Kanwar, Samson, Shivraj, Tiwari",Social
1948,Azad Hindustan,Nanubhai Vakil,"Suraiya Choudhary, Prakash, Shamim, Mayaram, Kamlarani, Anwari",Social
1948,Azadi Ki Raah Par,Lalit Chandra Mehta,"P. Jairaj, Prithviraj Kapoor, Vanmala, Sunalini Devi, Jagdish Sethi, Narmada Shanker, Misra",Social
1948,Bahadur Jeevan,Tara Harish,"Harishchandra, Latika, Manju, Gope, Dalpat, Hamid, E. Bilimoria",Action
1948,Bahadur Naresh,K. L. Kahan,"Anant Prabhu, Krishna Kumar, Rajrani, Ravi",Action
1948,Balma,Harbans Singh,"Madhuri, Veena, Ramesh Thakur, Baburao, Kesari, Ramlal, Mirajkar",Social
1948,Banjare,Hiren Bose,"Jeevan Lal,   Deepanjan, Kamal Misra, Banasree Malavika, Pramod Chandra",Social
1948,Banwasi,Kumar Chandrasekhar,"Mahipal, Shobha Rani, Sushanta, Gulab, Ameena, Gyani, Nana Madgulkar",Costume
1948,Barsat Ki Ek Raat,G. Singh,"Amarnath, Asha Posley, Pran, G. N. Dutt, Shehzadi, Begum Parvin, Lata",Social
1948,Bhakta Bilwamangal,Shanti Kumar,"Anant Marathe, Shashi Kapoor, Kanta Kumari, Ved Prakash, Laxman, Amirbai Karnataki, Pande",religious
1948,Bhakta Gopalbhaiya,Shanti Kumar,"Anant Marathe, Shashi Kapoor, Kanta Kumari, Ved Prakash, Laxman, Amirbai Karnataki",religious
1948,Bhool,V. Avdhoot,"Keshavrao Date, Dewan Sharar, Rajshree, Suman, Shiv Dayal, Umesh Sharma, Parshuram",Social Drama
1948,Bichhade Balam,Manibhai Vyas,"Khurshid, Anjum, Meena Kumari, A.R. Ojha, Mohammed Farooqui, Mohantara Talpade, Savitri Gidwani, Nihal Sharma, Nafiz Khalil, Anjum",Family Melodrama
1948,Bihari,"K. D. Ketkar, A. R. Zamindar","Surekha, Shabnam, Nandrekar, H. Prakash, Nimbalkar, Samson",Social
1948,Birhan,K. Bhandari,"Pran, Begum Parvin, Roopa, Shanti Madhok, Cuckoo",Social
1948,Chand Sitare,I.C. Kapoor,"Jeevan, Manorama, Anita, Satish, Leela, Rajan Haksar, Niranjan Sharma",Social
1948,Chanda Ki Chandni,Dwarka Khosla,"P. Jairaj, Rehana, Moni Chatterjee, Ajit, Amir Bano",Social
1948,Chandralekha,S.S. Vasan,"T. R. Rajakumari, M. K. Radha, Ranjan, S. Pillai, Tiwari, Yashodhara Katju, Sundari Bai",Costume Drama
1948,Chandrashekhar,Debaki Bose,"Ashok Kumar, Kanan Devi, Bharti Devi, Chhabi Biswas, Sunder",Costume Drama
1948,Chhup Chhup Ke,"Baij Sharma, K. C. Sharma","Nirmala Devi, Shanti Kumar, Zarina, Suraj Bakshi, Nafeez Begum",Social
1948,Chunaria,Ravindra Dave,"Wasti, Pran, Manorama, Randhir, Sofia, Ramesh, Chand Burke, Sarita, Baij Sharma",Social
1948,Desh Seva,Nanubhai Vakil,"Suraiya Choudhary, Prakash, Srinivas, Rafiq, N. A. Ansari, Shamim, Mumtaz, Anwari",Social
1948,Dhanwale,Ramanlal Desai,Hansa Wadkar,Social Drama
1948,Dhanyawad',Gajanan Jagirdar,"Hansa Wadkar, Jagirdar, Sajjan, Lalita Pawar, Leela Mishra, Agha, Bikram Kapoor, Dixit, Madhav Kale, Sankatha Prasad",Social
1948,Didi,Mukund Masurekar,"Ranjana, Cuckoo, Pande, Charubala, Anand, Ghanshyam, Shobharani, Amrit Shah",Family
1948,Diler Detective,Mohammed Hussain,"Arvind Kumar, Meherunnisa, Shanti Madhok, Mohammed Shafi, Habib, Ranibala, Manchi Thuthi",Action
1948,Dil Ki Awaz,Krishnachander,"Radhika, Tiwari, Sarita Devi, Mohindarnath, Raj Mehra",Social
1948,Dilwale,Ramanlal Desai,"Firoza, Yashwant Dave, Husn Ara, Sudha Rao, Kesari",Social
1948,Do Kaliyan,Raja Paranjpe,"Chandrakant Gokhale, Shalini, Saroj Borkar, Vinay Kale",Social
1948,Dukhiyari,D. K. Ratan Mandir,"Trilok Kapoor, Meena, Chandra Mohan, Ranjit Kumar, Vinayak, Majnu, Bhudo Advani, Chand Burke, Cuckoo",Social Drama
1948,Duniyadari,"K. P. Sahani, K. Advani","Ghori, Radha, S. Baburao, Sophia, Sultana, Mumtaz",Action
1948,Ek Aurat,S. D. Narang,"Smriti Biswas, Geetasree, Ridku, Kavish, Pushpa, Sunder, S. D. Narang, Hiralal",Social
1948,Gaibi Talwar,A. M. Khan,"Husn Ara, Anil Kumar, Leela Pande",Action
1948,Gajre,R.D. Mathur,"Motilal, Suraiya, Geeta Nizami, Agha, Murad",Romance Drama
1948,Ghar Ki Izzat,Ram Daryani,"Dilip Kumar, Mumtaz Shanti, Jeevan, Gope, Manorama, Dixit, Gulab Suleman",Social Family Drama
1948,Gopinath,Mahesh Kaul,"Latika, Raj Kapoor, Tripti Mitra,   Zubeida, Sachin Ghosh",romance Drama
1948,Grihasthi,S.M. Yusuf,"Ruby Myers Chatterjee, Shyama, Masood, Yakub, Pran, Kuldip Kaur",Family Drama
1948,Gumrah ,,,
1948,Gunjan,V.C. Desai,"Trilok Kapoor, Nalini Jaywant, Balraj Sahni, Veena Kumari, Purnima, Narmada Shanker, David",Social
1948,Gunsundari,Ratibhai Punatkar,"Nirupa Roy, Manhar Desai, Dulari, Nazira, Babu Raje, Jal Writer, Romeo",Family Drama
1948,Heer Ranjha,Wali,"Ghulam Mohammad, Mumtaz Shanti, Shree Nath, Roop Kamal, Gulab, Majnu",Legend Romance
1948,Hind Mail,Nanubhai Vakil,"Prakash, Amir Karnataki, Bacha, N. A. Ansari",Action
1948,Hip Hip Hurray,Arvind Sen,"Nirupa Roy, Balwant Singh, Navin Yagnik, Kumkum, Gulab, Bhudo Advani",Comedy
1948,Hum Bhi Insaan Hain,Phani Majumdar,"Dev Anand, Ramola, Amir Bano, Niharika, Pal, G. Das",
1948,Jadui Angoothi,A. M. Khan,"Husn Ara, Anil Kumar, Devraj, Kesari",Fantasy
1948,Jadui Bansari,Nanubhai Vakil,"Prakash, Kamla Rani, Agha, Amirbai Karnataki",Action Fantasy
1948,Jadui Chitra,Jaswant Jhaveri,"Shanta Patel, Anil Kumar, Kesari, Leela Pande, N. A. Ansari, Bhim",Fantasy Action
1948,Jadui Shehnai,Naseem Siddiqui,"Shanta Prasad, Prakash, N. A. Ansari, Leela Pande, Devraj, Rafique, Amirbai Karnataki",Action Fantasy
1948,Jai Hanuman,Ramchandra Thakur,"Nirupa Roy, P. Kailash, S. N. Tripathi, Pesi Patel, Ram Kumar, Babu Nene, Kamalakant, Inamdar",Religious
1948,Jai Hind,Ramnik Vaidya,"Prakash, Shanta Patel, Bacha",Social
1948,Jalan,Bhagwan,"Bhagwan, Chanchal, Usha Shukla, Baburao Pehalwan, Vasantrao Pehalwan",Action
1948,Jalsa,Kamlakar,"Geeta Bali, Ramesh, Purnima, Shyama, Raj Adib, Om Prakash, Tiwari, Vimla Bai",Drama
1948,Jeene Do,"A. F. Keeka, K. A. Majid","Leela Gupte, Panna Lal, Kaiser, Shanta Kunwar, Harish, Menka Devi",Social
1948,Jharna,Protima Das Gupta,"Begum Para, Maya Banerji, Shanti Madhok, Gope, Protima Das Gupta, Amir Bano, David",Social
1948,Jhoothi Kasmein,H. S. Rawail,"Ramola, Hiralal, Rooplekha, Iftekhar, Robin Majumdar, Manorama, Sunder",Social
1948,Jungle Goddess,Nari Ghadiali,"Fearless Nadia, John Cawas, Sheikh, Aftab, Putlibai, Manchi Tuthi",Action Adventure
1948,Kajal,M. Sadiq,"Suraiya, Jayant, Gope, Sharda, Ram Kamlani, Cuckoo, Wasti, Amir Bano",Social
1948,Kalpana,Uday Shankar,"Lakshmi Kanta, Usha Kiran, Amala Shankar, Padmini, Bindra, G. V. Subharao",Dance Drama
1948,Khidki,P. L. Santoshi,"Rehana, Jawahar Kaul, V. H. Desai, Radhakrishan, Leela Mishra, Ram Singh, Mumtaz Ali, Tiwari",Social
1948,Kiski Jeet,Safdar Mirza,"Pushpa, Maqbul, Indu Kulkarni, Sadiq, Sarla, Mohammed Sandow",Social
1948,Kuchh Naya,Ninu Majumdar (Muzumdar),"Purnima, Ramesh, R. Sinha, R. S. Duba, Sudha Rao",Social
1948,Lakhpati,Ravindra Jaykar,"Ruby Myers Chatterjee, Sapru, Rajan Haksar, Leela Chitnis, Om Prakash, Tabassum, Narmada Shanker",Social
1948,Lal Dupatta,K.B. Lall,"Madhubala, Sapru, Ulhas, Rajan Haksar, Ranjit Kumari, Neelam, Kesari",Social Drama
1948,Lalach,Bhagwan,"Bhagwan, Leela Gupte, Usha Shukla, Baburao Pehlwan",Action
1948,Majboor,Nazir Ajmeri,"Munawwar Sultana, Shyam Sohan, Indu Paul, Shivraj, Amir Bano",Family Melodrama
1948,Mala the Mighty,John Cawas,"John Cawas, Leela, Bhagwan, Dalpat, Azim",Action
1948,Mandir,"Dinkar D. Patil, Master Vinayak","Shahu Modak, Shanta Apte, Jaymala, Vijaya, Master Vinayak, Lata Mangeshkar,   Nanda, Jankidas, Samson",Social
1948,Matlabi,Bhagwan,"Bhagwan, Chanchal, Usha Shukla, Bibijan, Vasantrao Pehalwan, Baburao Pehalwan",Action
1948,Mela,S.U. Sunny,"Dilip Kumar, Nargis, Jayant, Jeevan, Rehman, Amar, Roop Kamal, Zubeida",romance Drama Social
1948,Mera Munna,Vishram Bedekar,"Motilal, Nayantara, W. M. Khan, E. Tarapore, Leela Mishra, Ramesh Saigal",Family Drama
1948,Mere Lal,Bal Gajbar,"Hansa Wadkar, Jog, Chandrakant Desai, Angre, Ram Upadhyay, Pratima Devi",Family
1948,Meri Kahani,Keki Mistry,"Munawwar Sultana, Surendra, Murad, Bhudo Advani, Sanobar, Ramesh Sinha, Leela Kumari, Santosh Kumar",Romance Drama
1948,Middle Fail,Kishore Sharma,"Kiran, Shanti Madhok, Raj Kanwar, Ram Murti, Sankatha Prasad",
1948,Mitti Ke Khilone,Pralhad Dutt,"Karan Dewan, Nirupa Roy, Nigar Sultana, Dulari, Ram Avtar, S. N. Tripathi",Social
1948,Nadiya Ke Paar,Kishore Sahu,"Dilip Kumar, Kamini Kaushal, David, Maya Banerjee, S. L. Puri, Samson, Kanta Kumari",Social Drama
1948,Nai Reet,S.K. Ojha,"Geeta Bali, Ruby Myers Chatterjee, Krishnakant, Badri Prasad, Rajendra, Tiwari",Social
1948,Nakli Heera,Ramanlal Desai,"Basant Malini, Navinchandra, Shanta Kunwar, Moni Chatterjee",Action
1948,Nao,D.N. Madhok,"P. Jairaj, Nigar Sultana, Dulari, Krishna Kumari, Amir Bano, David, Badri Prasad",Social
1948,Nek Dil,S. R. Desai,"Zubeida, Pran, Smriti Biswas, Amrit, Begum Parvin, Nazar",Social
1948,O Jane Wale,S. Sardesai,"Trilok Kapoor, Geeta Desai, Umakant, Pandey, Mehar Sultana",Social
1948,Oonch Neech,Hem Chander,"Sumitra Devi, Paul Mahendra, Bharati Devi, Hiralal, Chandravati, N. A. Ansari",Social romance drama
1948,Padmini,Wali Saheb,"Ashok Kumar,Mumtaz Shanti, Mumtaz Ali, Maya Devi, A. Shah, Samson",Historical Drama
1948,Papiha Re,Daud Chand,"Amarnath, Khurshid, Akhtari, Asha Posle, Khairati, G. N. Butt, Mumtaz Begum",Social
1948,Parai Aag,Najam Naqvi,"Madhubala, Munawwar Sultana, Ulhas, W. M. Khan, Jilloobai, Khalil",Social
1948,Parbat Ki Rani,A. Karim,"Shanta Patel, Dalpat, Habib, Leela Pawar, Sheri",Costume
1948,Pardesi Mehmaan,Aspi Irani,"Kamal Kapoor, Husn Banu, Bipin Gupta, Rajrani, Ghulam Mohammed, Afghan Sandow, Azim",Costume Drama
1948,Paroo,Shorey Saulatalvi,"Geeta Nizami, Dar Kashmiri, Randhir, Saroj Borkar",Social drama
1948,Patjhad,Ravindra Dave,"Amarnath, Meena, Cuckoo, Om Prakash, Shamlal",Social
1948,Payal,A. Shakoor,"Nihal, Agha, Cuckoo, Paro Devi, Altaf, Badri Prasad, Anwaribai, Abu Baker",
1948,Phool Aur Kaante,Achyut Govind Ranade,"Lalita Pawar, Saroj Borkar, Master Rattan Kumar, Mohan Segal, Javdekar, Swaroop Saigal, Chaube",Social
1948,Pugree,Anant Thakur,"Kamini Kaushal, Wasti, Shashikala, Amar, Gope, Dixit, Pratima Devi, Ram Avtar",Social Comedy Drama
1948,Pyaar Ki Jeet,O.P. Dutta,"Suraiya, Rehman, Gope, Raj Mehra, Manorama, Leela Mishra, Yashodhara Katju, Niranjan Sharma",Social
1948,Raees,Qaisar Sabhai,"Usha, Jawahar Kaul, Urvashi, Shanta Kunwar, Munshi Munakka",Social
1948,Rambaan,Vijay Bhatt,"Prem Adib, Shobhana Samarth, Chandra Mohan, Raj Adib, Umakant, Ramsingh, Leela Mishra, Jankidas",Religious
1948,Rang Mahal,Anand Kumar,"Suraiya, Suresh, Shah Nawaz, Anant Kumar, Lalita Pawar, Anant Marathe","Fantasy, Drama"
1948,Rangeen Zamana,M. Bhavnani,"Premnath, Monica Desai, Gope Yashodhara Katju, Badri Prasad, Ram Kanlani",Social
1948,Ratan Manjari,Nanubhai Vakil,"Prakash, Mumtaz, Anwaribai, Amirbai Karnataki, Gulnar",Costume
1948,Refugee,Tara Harish,"Ruby Myers Kadam, Ajit, Hamid, Majnu, Kesari, Urmila, Harishchandra, Dalpat",Social
1948,Roop Rekha,Samar Ghosh,"Rehman, Smriti Biswas, Asha Posley Veena Kohli, Pannalal, Ajmal",Social
1948,Rupaye Ki Kahani,Kumarsen Samarth,"Bina Pal, Shashikala, Vasant Thegdi, Vimal Ghaisas, Krishnakant",Social
1948,Sabyasachi,Agradoot,"Sandhya Rani, Kamal Mitra, Meera Mishra, Paresh Banerji, Bipin Gupta, Manorama, Devi Mukherjee",
1948,Sajan Ka Ghar,S. Daulatalavi,"P. Jairaj, Ranjana, Kusum Deshpande, Vasant Thegdi, Uma Dutt",Social
1948,Sant Tukaram,"V. Damle, S. Fatehlal","V. Pagnis, Gouri, Madhu Apte, Nandrekar, K. Pandit",Biopic
1948,Sati Vijaya,K. J. Parmar,"Ratnamala, Kishore Kumar, Kanta Kumari, Suryakant",religious
1948,Satyanarayan,"R. Vishnuram, Kumar Sahu","Leela Gupte, Jawahar Kaul, Ranjit Kumari, Roop Kumari, Balakram",Social
1948,Satyavan Savitri,Manibhai Vyas,"Nirupa Roy, Babu Raje, Maruti Rao, Bhim Pande, Bhagwandas, Kanta Kumari, Umakant",Mythology
1948,Seeta Swayamwar,A. R. Sheikh,"Durga Khote, Anant Marathe, Vasant Thegdi, Shakuntala, Balakram",Religious
1948,Sehra,D. B. Joshi,"Arun Kumar, Maya Devi, Nirmala, S. Nazir, Sheikh, Leela Mishra",Social
1948,Shaheed,Ramesh Saigal,"Dilip Kumar, Kamini Kaushal, Chandra Mohan, Prabhu Dayal, Leela Chitnis",Social Patriotic
1948,Shahnaz,S. Hassan,"Begum Para, Altaf, Shanta Patel, Shyama, Sheikh, Gulzar",
1948,Shakti,S.I. Hassan,"Karan Dewan, Suraiya, Murad, Maya Devi, Seeta Bose, Cuckoo, Mumtaz Ali",Social
1948,Shauhar,Veena Kumari,"Ulhas, Veena Kumari, Bhudo Advani, Dulari, Sankatha Prasad",Social Drama
1948,Shikayat,Shaheed Latif,"Shyam, Nigar Sultana, Rama Shukla, Agha,   Shakuntala, Sunalini Devi, Raj Mehra, Snehprabha",Social
1948,Shri Ram Bhakta Hanuman,Homi Wadia,"Trilok Kapoor, Sona Chatterjee, Amarnath, S. N. Tripathi, P. C. Joshi, Niranjan Sharma, Dalpat",religious
1948,Sipahi Ka Sapna a.k.a. Soldier's Dream,Sushil Majumdar,,
1948,Sona,Mazhar Khan,"Munawwar Sultana, Mazhar Khan, Madhuri, Dixit, Navin Yagnik, Madan Puri",Social
1948,Suhaag Raat a.k.a. Sohag Raat,Kidar Sharma,"Geeta Bali, Bharat Bhushan, Begum Para",Drama
1948,Suhagi,A. Shakoor,"Begum Para, Manorama, Sadiq Ali, Abu Bakar, Jilloobai, Badri Prasad",Romance Drama
1948,Taqdeerwale,S. H. Tharani,"Chandrika, Rajan Shanta Desai, Putlibai, Maqbul, Fazlu",Action
1948,Tigress,K. Talpade,"Fearless Nadia, Sona Chatterjee, Dalpat, Jal Khambata, Prakash, Boman Shroff",Action Adventure
1948,Toote Tare,Harish,"Sheikh Mukhtar, Mridula, Murad, Harish, Shamim, Kanhaiyalal, Putlibai, Kanchan Kumari",Drama
1948,Tumhari Kasam,G.P. Pawar,"Bhagwan, Vita Lokhre, Azim, Usha Shukla, Vasantrao Pehalwan, Baburao Pehalwan",Action
1948,Veena,J. P. Advani,"Rehman, Ruby Myers Chatterjee, Yakub, Veera, Hemavati, Leela Mishra, Girdhari",
1948,Vidya,Girish Trivedi,"Suraiya, Dev Anand, Madan Puri, Ghulam Mohammad, Maya Banerjee, Cuckoo",Family Drama
1948,Vijay Yatra,Niren Lahiri,"Sumitra, Ahindra Chowdhry, Sunanda, Dhiraj, Sham Laha",Social
1948,White Face,Balwant Dave,"Navinchandra, Leela Pawar Baburao Pehalwan, Omkar, Devaskar, Putlibai, Bhim",Action
1948,Yeh Hai Duniya,Aspi Azad,"Nawaz, Meera, Shabnam, Indira, Eruch Tarapore, Ram Kumar",Social
1948,Ziddi,Shaheed Latif,"Dev Anand, Kamini Kaushal, Pran, Kuldip Kaur, Nawab, Veera, Indu Paul, Chanda",Drama
1949,Aakhri Paigham a.k.a. The Last Message,Muzammil Khurshid,"Muzamil, Shashikala, Prakash Gupta, Yakub Rizvi, Leela Chitnis, Sudha Malhotra, Niranjan Sharma",Social
1949,Aiye,Yakub,"Yakub, Ruby Myers Chatterjee, Ashraf Khan, Sheela Naik, Masood, Jankidas",Social Family
1949,Amar Kahani,Baij Sharma,"P. Jairaj, Suraiya, Ranjana, Jagdish Mehta",Drama
1949,Andaz,Mehboob Khan,"Raj Kapoor, Nargis, Dilip Kumar, Cuckoo, Murad",Social Family Romance
1949,Apna Desh,V. Shantaram,"Keshavrao Date, Pushpa Hans, Sudha Apte, Chandrashekhar, Manmohan Krishna, Satish Vyas",Social
1949,Aparadhi,Yeshwant Pethkar,"Madhubala, Pran, Baburao Pendharkar, Ram Singh, Uma Dutt",Crime Drama
1949,Bachke Rahena,Bhagwan,"Bhagwan, Leela Gupte, Razia Vasantrao Pehalwan, Azim, Baburao Pehalwan",Action Comedy
1949,Bari Behen,Ram Daryani,"Geeta Bali, Suraiya, Pran, Ulhas Rehman",Family Drama
1949,Balam,Homi Wadia,"Suraiya, Masood, Nigar Sultana, Wasti, Agha, Jayant",romance Drama
1949,Banoo,G. M. Amla,"Anil Kumar, Maya Devi, Agha, Shanti Madhok, Nishant, Raj Shekhar, Kashmira",Social
1949,Bansariya,Ram Narayan Dave,"Geeta Bali, Om Prakash, Kuldip Kaur, Randhir, Sofia, Gulab, Ram Singh,",Romance Family
1949,Barsaat,Raj Kapoor,"Raj Kapoor, Nargis, Nimmi, Premnath, K. N. Singh, B. M. Vyas, Sushila Devi",Romance Drama
1949,Bazaar,K. Amarnath,"Shyam, Nigar Sultana, Yakub, Gope, Cuckoo Badri Prasad, Amir Banu",Social Family
1949,Bedard,B. N. Chouhan,"Majnu, Anand Tiwari, Brij Gopal, Sudharao, Shanta Kunwar",Social
1949,Begunah,B. R. Mudnaney,"Roop Kumari, Arvind Kumar, Shama, Habib, Kathana, Usha",Action
1949,Bhakta Pundalik,Dhirubhai Desai,"V. Mehrotra, C. J. Pandey, Kamlesh Thakar, Chunilal, Sushil Kumar, Sophia, Rani Premlata",religious
1949,Bhedi Bungla,Bhagwan,"Bhagwan, Leela Gupte, Inamdar, Mirajkar, Azim, Baburao Pehalwan",Mystery Action
1949,Bhole Bhale,Bhagwan,"Bhagwan, Leela Gupte, Inamdar, Mirajkar, Azim, Baburao Pehalwan",Action
1949,Bhole Piya,Jaswant Jhaveri,"Bhagwan, Leela Gupte, Rafiqe, Ansari, Shanta Patel",
1949,Bholi,Ram Daryani,"Geeta Bali, Prem Adib, Nawab, Shashikala, Gope, Jeevan",Family Drama
1949,Bhul Bhulaiyan,Taimur Behramshah,"Agha, Zeb Qureshi, Laila, Bhudo Advani, Rashid, Maruti, Kusum Thakur, Pesi Patel, Anwaribai",Social
1949,Bigde Dil,A. M. Khan,"Bhagwan, Husn Ara, Kesari, Veena Kohli, Kathana, A. M. Khan",Action
1949,Billi,Nari Ghadiali,"Fearless Nadia, John Cawas, Putli, Sheikh, Mithu Miyan",Action
1949,Bombay,C. R. Bajaj,"Suraiya Choudhary, Shashikala, Uday Kumar, Ram Singh, Sheela Naik, Bhudo Advani",Social
1949,Chaar Din,M. Sadiq,"Shyam, Suraiya, Jayant, Om Prakash, Shyama, Cuckoo",Social
1949,Chakori,Ram Narayan Dave,"Nalini Jaywant, Bharat Bhushan, Manorama, Cuckoo, Randhir",Social Family
1949,Chandni Raat,Mohammad Ehsan,"Shyam, Naseem Banu, David, Cuckoo, Jillo Bai",Drama
1949,Chhota Bhai,Kartik Chattopadhyay,"Mahendra Pal, Molina Devi, Shakoor, Asit Sen",Family Social
1949,Chilman,Changezi,"Rehana, Shareef, Pritma, Hamid, Anwari",Family Social
1949,Dada,Harish,"Shyam, Munawar Sultana Sheikh Mukhtar, Murad, Mukri, Cuckoo",Action Drama
1949,Darogaji,Akhtar Hussain,"Nargis, P. Jairaj, Neelam Mishra, Nisaar",Social Family
1949,Daulat,Sohrab Modi,"Madhubala, Mahipal, Jankidas",Social Family
1949,Delhi Express,Balwant Bhatt,"Fearless Nadia, Prakash, Shanta Patel, Bachoo, Shyam Sunder",Action Thriller
1949,Dhoom Dham,Rajaram,"Agha, Baburao, Urvashi, Leela Mishra, Vasantrao Pehalwan",Action
1949,Dhoomketu,Homi Wadia,"Fearless Nadia, John Cawas, Sona Chatterji, Boman Shroff, Dalpat, Ram Singh, Raja Sandow, Habib",Action Crime Thriller
1949,Dil Ki Basti,Wahid Qureshi,"Masood Khan, Nigar Sultana, Amar, Lalita Pawar, Tiwari, Urmila",Romance Drama
1949,Dil Ki Duniya,Mazhar Khan,"Mazhar Khan, Munawwar Sultana, P. Jairaj, Geeta Bali, Madan Puri, Suraiya Choudhary, Agha, Jaswant",Romance Drama
1949,Dillagi,Abdul Rashid Kardar,"Shyam, Suraiya, Sharda, Amar, Amir Bano, Shyam Kumar",romance Drama
1949,Dulari,Abdul Rashid Kardar,"Shyam, Geeta Bali, Madhubala, Suresh, Jayant, Amar, Pratima Devi, Shyam Kumar",
1949,Duniya,S. F. Hussain,"Karan Dewan, Suraiya, Yakub, Shakila, Anwaribai, Bhudo Advani,   Zubaida, Jankidas",Social Drama
1949,Ek Teri Nishani,B. K. Sagar,"Trilok Kapoor, Shyama, Meena, Ajmal, Urvashi, Maruti, I. S. Johar, Om Prakash, Cuckoo",Social
1949,Ek Thi Ladki,Roop K. Shorey,"Motilal, Meena Shorey, Bharat Bhushan, Kuldip Kaur, I. S. Johar, Agha, Shakuntala, Mehraj",Action Comedy
1949,Flying Express,Nanubhai Vakil,"Prakash, Indubala, Shiraj, Gulnar, Raj Kishore",Action
1949,Garibi,Ramchandra Thakur,"P. Jairaj, Nirupa Roy, Geeta Bali, Usha Kiran, Jawahar Kaul, P. Kailash, Ramesh Thakur",Social Drama
1949,Gharana,S. Bhatia,"Paro Devi, Iftekhar, Leela Kumari, Amina, Khatoon",Family
1949,Ghar Ki Numaish,V. Panchotia,"Meera Misra, Geeta Bose, Bikram Kapoor, Paresh Banerji, V. Panchotia, Tandon, Noorjahan",Family
1949,Girls' School,Amiya Chakravarty,"Geeta Bali, Sohan, Shashikala, Sajjan, Mangla, Ram Singh, Vimla Vashistha",Social
1949,Hamari Kismet,Nari Ghadiali,"Shanta Patel, Prakash, Agha, Dalpat, Tuthi Munchi, Radha, Sheikh",Action
1949,Hamari Manzil,O. P. Dutta,"Nirupa Roy, Prem Adib, Gope, Badri Prasad, Raj Mehra, Yashodhara Katju, Randhir, Niranjan Sharma",Social
1949,Imtihan,Mohan Sinha,"Surendra, Madhubala, Sajjan, Jugnu, Gulab, Madan Puri, Cuckoo, Rekha",Social Drama
1949,Iran Ki Ek Raat,P.C. Barua,"Jamuna Barua, S. D. Narang, Chandravati, Ghulam Mohammed, Ramesh Sinha",Costume
1949,Jagriti,Manohar Ghatwai,"Mohana, Ravikant, Freni Shroff, Bhim, Lalita Rao, Omkar Devaskar, Manohar",Social
1949,Jal Tarang,Rajendra Sharma,"Geeta Bali, Rehman, Shyama, Shashikala, Ram Singh, Rajan Haksar, Pesi Patel, Ramesh Thakur, Kesari, Uma Dutt",Social
1949,Janmapatri,K. P. Sahani,"Zebunissa, Hameed, Sudha Rao, Pran, Vijay, Leela Gupte, Nazir Kashmiri, Kathana",Social
1949,Jeet,Mohan Sinha,"Dev Anand, Suraiya, Bhagwan, Suraiya Choudhary, Durga Khote, Kanhaiyalal, Madan Puri, Habib",Social
1949,Jeete Raho,C. S. Krishna Kumar,"Bhagwan, Leela Gupte, Vasantrao Pehalwan, Baburao Pehalwan, Inamdar, Mirajkar",Action
